age_difference;same_gender;setting;frequency;initiator;help;other_age;other_gender;role;hierarchy;rel_quality;geo_distance;years_known;depth_acquaintance;contact_freq;shared_interests;formality_level;self-direction;power;universalism;achievement;security;stimulation;confromity;hedonism;benevolence;Priority
8;1;work;occasional;you;receiving;30;Male;supervisor;Higher;0;v-close;<2 years;2;2;2;3;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;7
8;1;work;regular;none;neither;30;Male;supervisor;Higher;0;v-close;<2 years;2;2;2;3;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;7
0;0;family;regular;none;neither;22;Female;partner;None;2;v-close;<2 years;5;5;3;5;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;7
0;0;family;occasional;other;neither;22;Female;partner;None;2;v-close;<2 years;5;5;3;5;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;4
19;1;sport;regular;none;neither;41;Male;extendedFamily;None;0;far;>10 years;1;1;;1;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;7
8;1;sport;occasional;other;neither;30;Male;supervisor;Higher;0;v-close;<2 years;2;2;2;3;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;7
8;1;casual;regular;none;neither;30;Male;supervisor;Higher;0;v-close;<2 years;2;2;2;3;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;6
8;1;casual;occasional;other;giving;30;Male;supervisor;Higher;0;v-close;<2 years;2;2;2;3;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;6
3;1;work;occasional;other;giving;25;Female;friend;None;-1;v-far;2-5 years;4;2;2;1;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;7
6;1;work;occasional;you;receiving;28;Female;supervisor;Higher;0;v-close;<2 years;1;3;;5;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;5
7;1;family;occasional;you;neither;29;Female;sibling;Higher;1;v-far;>10 years;4;3;3;1;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;7
7;1;family;occasional;other;neither;29;Female;sibling;Higher;1;v-far;>10 years;4;3;3;1;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;4
1;1;casual;regular;none;neither;23;Female;coWorker;Lower;0;v-close;<2 years;2;3;;3;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;7
1;1;casual;occasional;you;receiving;23;Female;coWorker;Lower;0;v-close;<2 years;2;3;;3;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;5
3;1;casual;occasional;other;giving;25;Female;friend;None;-1;v-far;2-5 years;4;2;2;1;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;3
6;1;casual;occasional;none;neither;28;Female;supervisor;Higher;0;v-close;<2 years;1;3;;5;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;1
1;1;work;occasional;other;giving;34;Male;friend;None;0;v-far;5-10 years;2;1;1;2;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;5
9;0;work;regular;none;neither;42;Female;supervisor;Higher;-1;far;<2 years;1;1;1;4;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;5
24;0;family;regular;none;neither;57;Female;extendedFamily;Higher;-1;v-close;>10 years;4;2;2;1;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;6
24;0;family;occasional;you;neither;57;Female;extendedFamily;Higher;-1;v-close;>10 years;4;2;2;1;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;2
9;0;sport;regular;none;neither;42;Female;supervisor;Higher;-1;far;<2 years;1;1;1;4;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;7
9;0;sport;occasional;other;neither;42;Female;supervisor;Higher;-1;far;<2 years;1;1;1;4;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;6
0;0;casual;occasional;you;receiving;33;Female;friend;None;-1;v-close;2-5 years;3;1;3;1;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;5
9;0;casual;occasional;none;neither;42;Female;supervisor;Higher;-1;far;<2 years;1;1;1;4;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;3
12;1;work;occasional;you;receiving;41;Female;supervisor;Higher;1;v-close;2-5 years;2;3;2;2;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;7
12;1;work;regular;none;neither;41;Female;supervisor;Higher;1;v-close;2-5 years;2;3;2;2;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;7
30;1;family;regular;none;neither;59;Female;parent;None;2;v-far;>10 years;5;4;3;1;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;7
30;1;family;occasional;you;neither;59;Female;parent;None;2;v-far;>10 years;5;4;3;1;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;1
12;1;sport;regular;none;neither;41;Female;supervisor;Higher;1;v-close;2-5 years;2;3;2;2;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;7
7;0;sport;occasional;other;neither;36;Male;other;None;-2;close;2-5 years;3;1;2;1;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;7
0;1;casual;regular;none;neither;29;Female;friend;None;1;v-close;<2 years;2;3;3;1;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;1
12;1;casual;occasional;other;giving;41;Female;supervisor;Higher;1;v-close;2-5 years;2;3;2;2;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;6
10;1;work;occasional;other;giving;35;Male;supervisor;Higher;2;v-close;2-5 years;4;5;3;3;1.17;0.17;-0.83;1.17;1.17;-0.83;-0.33;-0.83;-0.83;7
10;1;work;regular;none;neither;35;Male;supervisor;Higher;2;v-close;2-5 years;4;5;3;3;1.17;0.17;-0.83;1.17;1.17;-0.83;-0.33;-0.83;-0.83;6
37;1;family;regular;none;neither;62;Male;parent;None;2;v-far;>10 years;5;4;2;1;1.17;0.17;-0.83;1.17;1.17;-0.83;-0.33;-0.83;-0.83;6
37;1;family;occasional;other;neither;62;Male;parent;None;2;v-far;>10 years;5;4;2;1;1.17;0.17;-0.83;1.17;1.17;-0.83;-0.33;-0.83;-0.83;1
7;1;sport;regular;none;neither;32;Male;neighbour;None;0;v-close;5-10 years;2;2;1;1;1.17;0.17;-0.83;1.17;1.17;-0.83;-0.33;-0.83;-0.83;7
1;1;sport;occasional;other;neither;26;Male;friend;None;2;v-close;>10 years;5;5;5;1;1.17;0.17;-0.83;1.17;1.17;-0.83;-0.33;-0.83;-0.83;7
1;1;casual;occasional;you;receiving;26;Male;friend;None;2;v-close;>10 years;5;5;5;1;1.17;0.17;-0.83;1.17;1.17;-0.83;-0.33;-0.83;-0.83;1
10;1;casual;occasional;none;neither;35;Male;supervisor;Higher;2;v-close;2-5 years;4;5;3;3;1.17;0.17;-0.83;1.17;1.17;-0.83;-0.33;-0.83;-0.83;1
0;1;work;occasional;other;giving;42;Female;friend;None;1;far;>10 years;4;3;3;1;0.22;-1.78;0.72;-0.28;0.22;0.22;1.22;-0.78;0.22;6
-1;1;work;occasional;you;receiving;41;Female;supervisor;Higher;1;v-close;2-5 years;3;4;2;3;0.22;-1.78;0.72;-0.28;0.22;0.22;1.22;-0.78;0.22;7
-2;0;family;occasional;you;neither;40;Male;sibling;None;1;close;>10 years;3;2;2;1;0.22;-1.78;0.72;-0.28;0.22;0.22;1.22;-0.78;0.22;5
-2;0;family;occasional;other;neither;40;Male;sibling;None;1;close;>10 years;3;2;2;1;0.22;-1.78;0.72;-0.28;0.22;0.22;1.22;-0.78;0.22;4
-15;1;casual;regular;none;neither;27;Female;coWorker;Higher;1;v-close;2-5 years;2;3;2;2;0.22;-1.78;0.72;-0.28;0.22;0.22;1.22;-0.78;0.22;4
-15;1;casual;occasional;you;receiving;27;Female;coWorker;Higher;1;v-close;2-5 years;2;3;2;2;0.22;-1.78;0.72;-0.28;0.22;0.22;1.22;-0.78;0.22;3
1;1;casual;occasional;other;giving;43;Female;coWorker;Higher;-1;v-close;2-5 years;2;2;2;3;0.22;-1.78;0.72;-0.28;0.22;0.22;1.22;-0.78;0.22;4
-15;1;casual;occasional;none;neither;27;Female;coWorker;Higher;1;v-close;2-5 years;2;3;2;2;0.22;-1.78;0.72;-0.28;0.22;0.22;1.22;-0.78;0.22;5
16;1;work;occasional;you;receiving;41;Male;supervisor;Higher;1;v-close;<2 years;3;2;4;5;-0.72;-0.22;-0.22;-0.72;1.28;0.28;0.78;-1.22;0.78;6
4;1;work;regular;none;neither;29;Male;coWorker;Higher;-1;v-close;<2 years;5;4;2;3;-0.72;-0.22;-0.22;-0.72;1.28;0.28;0.78;-1.22;0.78;4
0;1;family;occasional;you;neither;25;Male;partner;None;2;v-far;5-10 years;5;5;3;5;-0.72;-0.22;-0.22;-0.72;1.28;0.28;0.78;-1.22;0.78;6
0;1;family;occasional;other;neither;25;Male;partner;None;2;v-far;5-10 years;5;5;3;5;-0.72;-0.22;-0.22;-0.72;1.28;0.28;0.78;-1.22;0.78;3
24;1;sport;occasional;other;neither;49;Male;coWorker;Higher;2;v-far;<2 years;2;4;;3;-0.72;-0.22;-0.22;-0.72;1.28;0.28;0.78;-1.22;0.78;6
4;1;casual;regular;none;neither;29;Male;coWorker;Higher;-1;v-close;<2 years;5;4;2;3;-0.72;-0.22;-0.22;-0.72;1.28;0.28;0.78;-1.22;0.78;3
24;1;casual;occasional;you;receiving;49;Male;coWorker;Higher;2;v-far;<2 years;2;4;;3;-0.72;-0.22;-0.22;-0.72;1.28;0.28;0.78;-1.22;0.78;1
7;1;casual;occasional;none;neither;32;Male;friend;Lower;2;v-close;<2 years;4;2;4;3;-0.72;-0.22;-0.22;-0.72;1.28;0.28;0.78;-1.22;0.78;3
-5;0;work;occasional;other;giving;45;Male;groupMember;None;-1;close;>10 years;4;1;3;1;0.89;-0.11;0.39;-1.61;-1.11;1.89;-1.61;-0.61;1.89;6
8;0;work;occasional;you;receiving;58;Male;supervisor;Higher;-1;far;5-10 years;2;1;3;3;0.89;-0.11;0.39;-1.61;-1.11;1.89;-1.61;-0.61;1.89;6
1;0;family;regular;none;neither;51;Male;partner;None;2;v-close;>10 years;5;5;5;1;0.89;-0.11;0.39;-1.61;-1.11;1.89;-1.61;-0.61;1.89;4
1;0;family;occasional;you;neither;51;Male;partner;None;2;v-close;>10 years;5;5;5;1;0.89;-0.11;0.39;-1.61;-1.11;1.89;-1.61;-0.61;1.89;5
-10;1;sport;regular;none;neither;40;Female;neighbour;None;1;v-close;2-5 years;2;2;2;3;0.89;-0.11;0.39;-1.61;-1.11;1.89;-1.61;-0.61;1.89;7
-10;1;sport;occasional;other;neither;40;Female;neighbour;None;1;v-close;2-5 years;2;2;2;3;0.89;-0.11;0.39;-1.61;-1.11;1.89;-1.61;-0.61;1.89;5
-5;0;casual;regular;none;neither;45;Male;groupMember;None;-1;close;>10 years;4;1;3;1;0.89;-0.11;0.39;-1.61;-1.11;1.89;-1.61;-0.61;1.89;5
-5;0;casual;occasional;other;giving;45;Male;groupMember;None;-1;close;>10 years;4;1;3;1;0.89;-0.11;0.39;-1.61;-1.11;1.89;-1.61;-0.61;1.89;6
2;1;work;occasional;other;giving;35;Female;neighbour;None;0;v-close;<2 years;2;2;2;3;-0.78;-1.28;-0.28;1.22;0.22;-0.28;0.72;-1.78;2.22;7
41;0;family;regular;none;neither;74;Male;parent;None;-2;v-far;>10 years;2;1;2;;-0.78;-1.28;-0.28;1.22;0.22;-0.28;0.72;-1.78;2.22;6
41;0;family;occasional;you;neither;74;Male;parent;None;-2;v-far;>10 years;2;1;2;;-0.78;-1.28;-0.28;1.22;0.22;-0.28;0.72;-1.78;2.22;3
41;0;family;occasional;other;neither;74;Male;parent;None;-2;v-far;>10 years;2;1;2;;-0.78;-1.28;-0.28;1.22;0.22;-0.28;0.72;-1.78;2.22;6
4;1;sport;regular;none;neither;37;Female;friend;None;1;v-far;5-10 years;5;4;4;1;-0.78;-1.28;-0.28;1.22;0.22;-0.28;0.72;-1.78;2.22;3
4;1;sport;occasional;other;neither;37;Female;friend;None;1;v-far;5-10 years;5;4;4;1;-0.78;-1.28;-0.28;1.22;0.22;-0.28;0.72;-1.78;2.22;6
2;1;casual;regular;none;neither;35;Female;neighbour;None;0;v-close;<2 years;2;2;2;3;-0.78;-1.28;-0.28;1.22;0.22;-0.28;0.72;-1.78;2.22;6
2;1;casual;occasional;none;neither;35;Female;neighbour;None;0;v-close;<2 years;2;2;2;3;-0.78;-1.28;-0.28;1.22;0.22;-0.28;0.72;-1.78;2.22;3
42;0;work;regular;none;neither;60;Female;supervisor;Higher;0;v-close;2-5 years;2;1;2;5;-0.06;-2.06;1.44;-0.06;-0.56;-0.06;0.44;-0.06;0.94;6
5;0;family;regular;none;neither;23;Female;sibling;None;2;v-close;>10 years;5;4;4;2;-0.06;-2.06;1.44;-0.06;-0.56;-0.06;0.44;-0.06;0.94;6
5;0;family;occasional;you;neither;23;Female;sibling;None;2;v-close;>10 years;5;4;4;2;-0.06;-2.06;1.44;-0.06;-0.56;-0.06;0.44;-0.06;0.94;6
5;0;family;occasional;other;neither;23;Female;sibling;None;2;v-close;>10 years;5;4;4;2;-0.06;-2.06;1.44;-0.06;-0.56;-0.06;0.44;-0.06;0.94;4
1;0;sport;regular;none;neither;19;Female;groupMember;None;0;v-far;<2 years;2;1;2;1;-0.06;-2.06;1.44;-0.06;-0.56;-0.06;0.44;-0.06;0.94;7
1;0;casual;occasional;you;receiving;19;Female;groupMember;None;0;v-far;<2 years;2;1;2;1;-0.06;-2.06;1.44;-0.06;-0.56;-0.06;0.44;-0.06;0.94;7
1;0;casual;occasional;other;giving;19;Female;groupMember;None;0;v-far;<2 years;2;1;2;1;-0.06;-2.06;1.44;-0.06;-0.56;-0.06;0.44;-0.06;0.94;5
1;0;casual;occasional;none;neither;19;Female;groupMember;None;0;v-far;<2 years;2;1;2;1;-0.06;-2.06;1.44;-0.06;-0.56;-0.06;0.44;-0.06;0.94;6
1;1;work;occasional;other;giving;36;Male;friend;None;1;v-close;2-5 years;4;4;4;1;0.28;0.28;0.28;-0.22;1.28;-0.22;-0.22;-0.72;-0.72;7
22;0;work;occasional;you;receiving;57;Female;supervisor;Higher;0;v-close;2-5 years;2;2;2;4;0.28;0.28;0.28;-0.22;1.28;-0.22;-0.22;-0.72;-0.72;7
22;0;work;regular;none;neither;57;Female;supervisor;Higher;0;v-close;2-5 years;2;2;2;4;0.28;0.28;0.28;-0.22;1.28;-0.22;-0.22;-0.72;-0.72;6
2;0;family;occasional;you;neither;37;Female;sibling;None;1;v-close;>10 years;5;3;3;1;0.28;0.28;0.28;-0.22;1.28;-0.22;-0.22;-0.72;-0.72;4
30;1;sport;occasional;other;neither;65;Male;extendedFamily;None;-1;v-close;>10 years;3;1;1;3;0.28;0.28;0.28;-0.22;1.28;-0.22;-0.22;-0.72;-0.72;6
22;0;casual;regular;none;neither;57;Female;supervisor;Higher;0;v-close;2-5 years;2;2;2;4;0.28;0.28;0.28;-0.22;1.28;-0.22;-0.22;-0.72;-0.72;1
1;1;casual;occasional;you;receiving;36;Male;friend;None;1;v-close;2-5 years;4;4;4;1;0.28;0.28;0.28;-0.22;1.28;-0.22;-0.22;-0.72;-0.72;1
1;1;casual;occasional;other;giving;36;Male;friend;None;1;v-close;2-5 years;4;4;4;1;0.28;0.28;0.28;-0.22;1.28;-0.22;-0.22;-0.72;-0.72;6
-4;1;work;occasional;other;giving;26;Male;friend;None;1;v-far;<2 years;2;4;4;1;0.33;-1.17;1.83;-1.17;-1.67;-1.17;-0.17;0.83;2.33;7
20;1;work;occasional;you;receiving;50;Male;supervisor;Higher;1;v-close;<2 years;2;1;;3;0.33;-1.17;1.83;-1.17;-1.67;-1.17;-0.17;0.83;2.33;7
20;1;work;regular;none;neither;50;Male;supervisor;Higher;1;v-close;<2 years;2;1;;3;0.33;-1.17;1.83;-1.17;-1.67;-1.17;-0.17;0.83;2.33;7
30;0;family;occasional;other;neither;60;Female;parent;Higher;2;v-close;>10 years;3;4;2;1;0.33;-1.17;1.83;-1.17;-1.67;-1.17;-0.17;0.83;2.33;1
10;1;sport;regular;none;neither;40;Male;other;None;-2;v-far;5-10 years;3;1;2;1;0.33;-1.17;1.83;-1.17;-1.67;-1.17;-0.17;0.83;2.33;7
10;1;casual;occasional;you;receiving;40;Male;other;None;-2;v-far;5-10 years;3;1;2;1;0.33;-1.17;1.83;-1.17;-1.67;-1.17;-0.17;0.83;2.33;7
10;1;casual;occasional;other;giving;40;Male;other;None;-2;v-far;5-10 years;3;1;2;1;0.33;-1.17;1.83;-1.17;-1.67;-1.17;-0.17;0.83;2.33;7
10;1;casual;occasional;none;neither;40;Male;other;None;-2;v-far;5-10 years;3;1;2;1;0.33;-1.17;1.83;-1.17;-1.67;-1.17;-0.17;0.83;2.33;1
-2;0;work;occasional;other;giving;24;Female;supervisor;Higher;2;v-close;5-10 years;5;5;5;5;-0.06;-2.06;-0.06;0.94;-0.06;-0.06;1.44;0.44;-0.56;7
-2;0;family;regular;none;neither;24;Female;sibling;None;-2;v-close;>10 years;1;;1;1;-0.06;-2.06;-0.06;0.94;-0.06;-0.06;1.44;0.44;-0.56;1
20;0;family;occasional;you;neither;46;Female;parent;None;0;v-close;>10 years;5;4;1;;-0.06;-2.06;-0.06;0.94;-0.06;-0.06;1.44;0.44;-0.56;7
-2;0;family;occasional;other;neither;24;Female;sibling;None;-2;v-close;>10 years;1;;1;1;-0.06;-2.06;-0.06;0.94;-0.06;-0.06;1.44;0.44;-0.56;7
0;0;sport;regular;none;neither;26;Female;friend;Higher;2;v-close;>10 years;4;5;5;4;-0.06;-2.06;-0.06;0.94;-0.06;-0.06;1.44;0.44;-0.56;1
1;1;casual;regular;none;neither;27;Male;other;None;-2;v-far;<2 years;3;1;2;;-0.06;-2.06;-0.06;0.94;-0.06;-0.06;1.44;0.44;-0.56;7
0;0;casual;occasional;you;receiving;26;Female;friend;Higher;2;v-close;>10 years;4;5;5;4;-0.06;-2.06;-0.06;0.94;-0.06;-0.06;1.44;0.44;-0.56;1
-2;0;casual;occasional;none;neither;24;Female;supervisor;Higher;2;v-close;5-10 years;5;5;5;5;-0.06;-2.06;-0.06;0.94;-0.06;-0.06;1.44;0.44;-0.56;1
1;1;work;occasional;you;receiving;70;Male;supervisor;Higher;1;v-far;>10 years;2;1;3;3;0.22;-0.28;-0.28;-0.78;0.22;0.72;0.72;-0.28;-0.28;7
1;1;work;regular;none;neither;70;Male;supervisor;Higher;1;v-far;>10 years;2;1;3;3;0.22;-0.28;-0.28;-0.78;0.22;0.72;0.72;-0.28;-0.28;3
-5;1;family;regular;none;neither;64;Male;extendedFamily;Lower;-1;v-far;>10 years;4;3;2;3;0.22;-0.28;-0.28;-0.78;0.22;0.72;0.72;-0.28;-0.28;4
-5;1;family;occasional;other;neither;64;Male;extendedFamily;Lower;-1;v-far;>10 years;4;3;2;3;0.22;-0.28;-0.28;-0.78;0.22;0.72;0.72;-0.28;-0.28;4
11;1;sport;occasional;other;neither;80;Male;friend;None;2;v-far;5-10 years;4;4;4;2;0.22;-0.28;-0.28;-0.78;0.22;0.72;0.72;-0.28;-0.28;6
1;1;casual;occasional;you;receiving;70;Male;supervisor;Higher;1;v-far;>10 years;2;1;3;3;0.22;-0.28;-0.28;-0.78;0.22;0.72;0.72;-0.28;-0.28;6
-24;1;casual;occasional;other;giving;45;Male;neighbour;None;1;v-close;<2 years;2;3;;3;0.22;-0.28;-0.28;-0.78;0.22;0.72;0.72;-0.28;-0.28;6
-24;1;casual;occasional;none;neither;45;Male;neighbour;None;1;v-close;<2 years;2;3;;3;0.22;-0.28;-0.28;-0.78;0.22;0.72;0.72;-0.28;-0.28;6
30;0;work;occasional;you;receiving;60;Male;supervisor;Higher;1;v-close;2-5 years;3;4;3;3;0.61;-2.39;-0.89;0.11;0.61;0.61;0.61;-0.39;1.11;3
25;1;work;regular;none;neither;55;Female;coWorker;None;-1;v-close;2-5 years;2;3;1;2;0.61;-2.39;-0.89;0.11;0.61;0.61;0.61;-0.39;1.11;7
43;1;family;regular;none;neither;73;Female;parent;Higher;2;v-far;>10 years;4;4;3;3;0.61;-2.39;-0.89;0.11;0.61;0.61;0.61;-0.39;1.11;7
43;1;family;occasional;other;neither;73;Female;parent;Higher;2;v-far;>10 years;4;4;3;3;0.61;-2.39;-0.89;0.11;0.61;0.61;0.61;-0.39;1.11;7
0;1;sport;regular;none;neither;30;Female;friend;None;2;close;>10 years;5;5;5;1;0.61;-2.39;-0.89;0.11;0.61;0.61;0.61;-0.39;1.11;7
25;1;sport;occasional;other;neither;55;Female;coWorker;None;-1;v-close;2-5 years;2;3;1;2;0.61;-2.39;-0.89;0.11;0.61;0.61;0.61;-0.39;1.11;5
0;1;casual;occasional;you;receiving;30;Female;friend;None;2;close;>10 years;5;5;5;1;0.61;-2.39;-0.89;0.11;0.61;0.61;0.61;-0.39;1.11;5
25;1;casual;occasional;none;neither;55;Female;coWorker;None;-1;v-close;2-5 years;2;3;1;2;0.61;-2.39;-0.89;0.11;0.61;0.61;0.61;-0.39;1.11;6
43;1;work;occasional;other;giving;70;Female;supervisor;Higher;0;v-close;5-10 years;1;1;2;5;2.11;-2.89;1.11;-0.89;0.11;0.11;-1.39;0.61;1.11;5
43;1;work;regular;none;neither;70;Female;supervisor;Higher;0;v-close;5-10 years;1;1;2;5;2.11;-2.89;1.11;-0.89;0.11;0.11;-1.39;0.61;1.11;7
-2;1;family;regular;none;neither;25;Female;sibling;None;2;v-close;>10 years;5;5;5;1;2.11;-2.89;1.11;-0.89;0.11;0.11;-1.39;0.61;1.11;7
-2;1;family;occasional;you;neither;25;Female;sibling;None;2;v-close;>10 years;5;5;5;1;2.11;-2.89;1.11;-0.89;0.11;0.11;-1.39;0.61;1.11;3
31;0;sport;regular;none;neither;58;Male;neighbour;None;1;v-close;<2 years;2;3;2;1;2.11;-2.89;1.11;-0.89;0.11;0.11;-1.39;0.61;1.11;7
31;0;sport;occasional;other;neither;58;Male;neighbour;None;1;v-close;<2 years;2;3;2;1;2.11;-2.89;1.11;-0.89;0.11;0.11;-1.39;0.61;1.11;6
31;0;casual;regular;none;neither;58;Male;neighbour;None;1;v-close;<2 years;2;3;2;1;2.11;-2.89;1.11;-0.89;0.11;0.11;-1.39;0.61;1.11;2
31;0;casual;occasional;other;giving;58;Male;neighbour;None;1;v-close;<2 years;2;3;2;1;2.11;-2.89;1.11;-0.89;0.11;0.11;-1.39;0.61;1.11;6
-4;1;work;occasional;other;giving;43;Female;supervisor;None;2;far;2-5 years;4;3;4;1;1.28;-2.72;-0.22;-0.22;1.28;-0.22;0.28;0.28;0.28;7
-4;1;work;occasional;you;receiving;43;Female;supervisor;None;2;far;2-5 years;4;3;4;1;1.28;-2.72;-0.22;-0.22;1.28;-0.22;0.28;0.28;0.28;7
-4;1;work;regular;none;neither;43;Female;supervisor;None;2;far;2-5 years;4;3;4;1;1.28;-2.72;-0.22;-0.22;1.28;-0.22;0.28;0.28;0.28;7
25;1;family;occasional;other;neither;72;Female;parent;Higher;2;v-close;>10 years;5;5;5;5;1.28;-2.72;-0.22;-0.22;1.28;-0.22;0.28;0.28;0.28;6
-18;0;sport;regular;none;neither;29;Male;friend;None;1;v-close;>10 years;2;2;3;1;1.28;-2.72;-0.22;-0.22;1.28;-0.22;0.28;0.28;0.28;7
-17;1;casual;regular;none;neither;30;Female;friend;None;2;close;>10 years;5;2;3;1;1.28;-2.72;-0.22;-0.22;1.28;-0.22;0.28;0.28;0.28;5
-4;1;casual;occasional;you;receiving;43;Female;supervisor;None;2;far;2-5 years;4;3;4;1;1.28;-2.72;-0.22;-0.22;1.28;-0.22;0.28;0.28;0.28;7
10;0;casual;occasional;other;giving;57;Male;other;None;-2;far;>10 years;5;2;3;1;1.28;-2.72;-0.22;-0.22;1.28;-0.22;0.28;0.28;0.28;5
2;0;work;occasional;other;giving;37;Female;other;None;-2;v-close;>10 years;5;1;3;1;1.44;-1.56;1.44;-1.06;-0.06;0.44;0.44;-1.06;-0.06;7
0;1;work;regular;none;neither;35;Male;supervisor;Higher;1;v-close;<2 years;1;4;;4;1.44;-1.56;1.44;-1.06;-0.06;0.44;0.44;-1.06;-0.06;7
30;1;family;regular;none;neither;65;Male;partner;Higher;1;v-far;>10 years;4;3;3;1;1.44;-1.56;1.44;-1.06;-0.06;0.44;0.44;-1.06;-0.06;7
30;1;family;occasional;you;neither;65;Male;partner;Higher;1;v-far;>10 years;4;3;3;1;1.44;-1.56;1.44;-1.06;-0.06;0.44;0.44;-1.06;-0.06;2
2;0;sport;regular;none;neither;37;Female;other;None;-2;v-close;>10 years;5;1;3;1;1.44;-1.56;1.44;-1.06;-0.06;0.44;0.44;-1.06;-0.06;7
0;0;casual;regular;none;neither;35;Female;coWorker;Higher;1;v-close;<2 years;2;2;;3;1.44;-1.56;1.44;-1.06;-0.06;0.44;0.44;-1.06;-0.06;3
2;0;casual;occasional;you;receiving;37;Female;other;None;-2;v-close;>10 years;5;1;3;1;1.44;-1.56;1.44;-1.06;-0.06;0.44;0.44;-1.06;-0.06;4
10;1;casual;occasional;other;giving;45;Male;friend;None;1;v-close;>10 years;3;2;3;1;1.44;-1.56;1.44;-1.06;-0.06;0.44;0.44;-1.06;-0.06;5
1;0;work;occasional;other;giving;30;Female;friend;None;0;far;2-5 years;2;3;;1;0.39;-1.11;-0.11;-0.11;0.89;0.89;-0.61;-0.11;-0.11;6
21;1;work;occasional;you;receiving;50;Male;supervisor;Higher;1;v-far;2-5 years;3;1;4;3;0.39;-1.11;-0.11;-0.11;0.89;0.89;-0.61;-0.11;-0.11;6
27;0;family;regular;none;neither;56;Female;parent;Higher;2;v-far;>10 years;4;5;4;1;0.39;-1.11;-0.11;-0.11;0.89;0.89;-0.61;-0.11;-0.11;7
27;0;family;occasional;you;neither;56;Female;parent;Higher;2;v-far;>10 years;4;5;4;1;0.39;-1.11;-0.11;-0.11;0.89;0.89;-0.61;-0.11;-0.11;6
39;1;sport;occasional;other;neither;68;Male;extendedFamily;None;-2;v-far;>10 years;2;1;;1;0.39;-1.11;-0.11;-0.11;0.89;0.89;-0.61;-0.11;-0.11;7
3;1;casual;regular;none;neither;32;Male;friend;None;2;v-close;2-5 years;4;5;4;1;0.39;-1.11;-0.11;-0.11;0.89;0.89;-0.61;-0.11;-0.11;1
21;1;casual;occasional;you;receiving;50;Male;supervisor;Higher;1;v-far;2-5 years;3;1;4;3;0.39;-1.11;-0.11;-0.11;0.89;0.89;-0.61;-0.11;-0.11;6
39;1;casual;occasional;other;giving;68;Male;extendedFamily;None;-2;v-far;>10 years;2;1;;1;0.39;-1.11;-0.11;-0.11;0.89;0.89;-0.61;-0.11;-0.11;7
1;1;work;occasional;you;receiving;30;Female;supervisor;Higher;2;v-close;5-10 years;5;5;5;1;-0.28;-0.28;1.22;-2.28;0.72;0.72;-3.28;1.72;1.72;7
7;1;family;regular;none;neither;36;Female;partner;None;2;v-close;>10 years;5;5;5;1;-0.28;-0.28;1.22;-2.28;0.72;0.72;-3.28;1.72;1.72;7
7;1;family;occasional;you;neither;36;Female;partner;None;2;v-close;>10 years;5;5;5;1;-0.28;-0.28;1.22;-2.28;0.72;0.72;-3.28;1.72;1.72;1
